PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;RIBEIRAO PRETO;005;1429172;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC00520022020_1429172.rem;339;0;16;355;136;0;16;152;14.220,51;0,00;2.438,49;16.659,00
0;SAO JOSE DO RIO PRETO;006;1429094;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC00620022020_1429094.rem;167;0;2;169;62;0;2;64;6.479,65;0,00;281,43;6.761,08
0;SAO JOSE DO RIO PRETO;006;1429095;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC00620022020_1429095.rem;2;0;0;2;1;0;0;1;144,88;0,00;0,00;144,88
0;BAURU;008;1428830;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC00820022020_1428830.rem;127;0;4;131;47;0;4;51;5.151,32;0,00;1.033,12;6.184,44
0;PIRACICABA;009;1429049;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC00920022020_1429049.rem;127;0;2;129;48;0;2;50;5.419,73;0,00;529,14;5.948,87
0;CAMPO GRANDE;011;1429189;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC01120022020_1429189.rem;301;0;10;311;110;0;10;120;12.828,79;0,00;1.630,24;14.459,03
0;NOVA FRIBURGO;030;1428858;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC03020022020_1428858.rem;13;0;0;13;4;0;0;4;158,88;0,00;0,00;158,88
0;PRESIDENTE PRUDENTE;036;1429103;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC03620022020_1429103.rem;26;0;0;26;8;0;0;8;292,38;0,00;0,00;292,38
0;CAMPINAS;052;1428934;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC05220022020_1428934.rem;471;0;27;498;170;0;27;197;20.719,88;0,00;3.484,27;24.204,15
0;CAMPINAS;052;1428935;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC05220022020_1428935.rem;32;0;4;36;13;0;4;17;1.528,35;0,00;386,77;1.915,12
0;CAMPINAS;052;1428936;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC05220022020_1428936.rem;16;0;2;18;6;0;2;8;1.119,40;0,00;97,91;1.217,31
0;SAO CARLOS;053;1429075;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC05320022020_1429075.rem;252;0;4;256;67;0;4;71;6.124,64;0,00;349,71;6.474,35
0;INDAIATUBA;054;1428996;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC05420022020_1428996.rem;51;0;3;54;19;0;3;22;1.860,77;0,00;729,84;2.590,61
0;JUNDIAI;055;1429134;Primeira Via-PrintHouse;BOLETO;20/02/2020;05/02/2020;EC05520022020_1429134.rem;242;0;6;248;61;0;6;67;7.377,83;0,00;1.029,39;8.407,22
