COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
507;VILA VELHA;BOLETO;1552939;06/02/2020;20/03/2020;Primeira Via-PrintHouse;ETC50720032020_1552939.rem;NET;18;7;2.313,68
508;VITORIA;BOLETO;1552947;06/02/2020;20/03/2020;Primeira Via-PrintHouse;ETC50820032020_1552947.rem;NET;5;3;733,13
507;VILA VELHA;BOLETO;1552940;06/02/2020;20/03/2020;Primeira Via-PrintHouse;ET50720032020_1552940.rem;NET;13;5;1.408,46
508;VITORIA;BOLETO;1552948;06/02/2020;20/03/2020;Primeira Via-PrintHouse;ET50820032020_1552948.rem;NET;34;13;3.295,77
507;VILA VELHA;BOLETO;1552941;06/02/2020;20/03/2020;Primeira Via-PrintHouse;E50720032020_1552941.rem;NET;18;8;2.298,21
508;VITORIA;BOLETO;1552949;06/02/2020;20/03/2020;Primeira Via-PrintHouse;E50820032020_1552949.rem;NET;62;25;5.779,30
507;VILA VELHA;CARTAO DE CREDITO;1552946;06/02/2020;20/03/2020;Primeira Via-PrintHouse;CTC50720032020_1552946.rem;NET;3;1;377,00
507;VILA VELHA;DEBITO EM CONTA;1552944;06/02/2020;20/03/2020;Primeira Via-PrintHouse;DR150720032020_1552944.rem;NET;3;1;106,59
507;VILA VELHA;DEBITO EM CONTA;1552942;06/02/2020;20/03/2020;Primeira Via-PrintHouse;DTC50720032020_1552942.rem;NET;35;12;3.293,67
508;VITORIA;DEBITO EM CONTA;1552950;06/02/2020;20/03/2020;Primeira Via-PrintHouse;DTC50820032020_1552950.rem;NET;24;9;3.223,57
507;VILA VELHA;DEBITO EM CONTA;1552943;06/02/2020;20/03/2020;Primeira Via-PrintHouse;DT50720032020_1552943.rem;NET;25;8;2.746,20
508;VITORIA;DEBITO EM CONTA;1552951;06/02/2020;20/03/2020;Primeira Via-PrintHouse;DT50820032020_1552951.rem;NET;89;31;8.508,65
507;VILA VELHA;DEBITO EM CONTA;1552945;06/02/2020;20/03/2020;Primeira Via-PrintHouse;D50720032020_1552945.rem;NET;12;6;1.156,53
508;VITORIA;DEBITO EM CONTA;1552952;06/02/2020;20/03/2020;Primeira Via-PrintHouse;D50820032020_1552952.rem;NET;29;14;3.618,98


**********
FATURAS EBT CONTESTADAS/ALTERADAS
COD_OPERADORA;NOME_CIDADE;NUM_CONTRATO;ID_COBRANCA_PARCEIRO;NOME_PARCEIRO;VALOR_TOTAL;STATUS_COBRANCA
FIM
