COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
007;SOROCABA;BOLETO;1551586;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00720022020_1551586.rem;NET;601;151;13.620,08
007;SOROCABA;BOLETO;1551586;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00720022020_1551586.rem;CLARO;4;4;626,37
022;PORTO FELIZ;BOLETO;1551688;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC02220022020_1551688.rem;NET;23;10;1.013,97
022;PORTO FELIZ;BOLETO;1551688;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC02220022020_1551688.rem;CLARO;1;1;238,03
042;LAURO DE FREITAS;BOLETO;1551890;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC04220022020_1551890.rem;NET;38;14;1.168,65
042;LAURO DE FREITAS;BOLETO;1551890;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC04220022020_1551890.rem;CLARO;1;1;30,00
048;RAFARD;BOLETO;1551723;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC04820022020_1551723.rem;NET;1;1;33,82
051;IMPERATRIZ;BOLETO;1551719;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC05120022020_1551719.rem;NET;22;7;222,11
063;TERESINA;BOLETO;1552270;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC06320022020_1552270.rem;NET;163;61;5.676,13
063;TERESINA;BOLETO;1552270;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC06320022020_1552270.rem;CLARO;5;5;498,07
095;NATAL;BOLETO;1552244;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC09520022020_1552244.rem;NET;249;93;8.923,30
095;NATAL;BOLETO;1552244;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC09520022020_1552244.rem;CLARO;4;4;242,42
096;SAO LUIS;BOLETO;1552038;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC09620022020_1552038.rem;CLARO;4;4;851,05
096;SAO LUIS;BOLETO;1552038;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC09620022020_1552038.rem;NET;186;71;7.770,50
097;FORTALEZA;BOLETO;1552319;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC09720022020_1552319.rem;CLARO;2;2;546,46
097;FORTALEZA;BOLETO;1552319;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC09720022020_1552319.rem;NET;188;65;7.464,27
105;BELFORD ROXO;BOLETO;1551864;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC10520022020_1551864.rem;NET;63;24;2.065,09
105;BELFORD ROXO;BOLETO;1551864;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC10520022020_1551864.rem;CLARO;1;1;220,65
161;DUQUE DE CAXIAS;BOLETO;1551840;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC16120022020_1551840.rem;NET;28;12;1.514,46
161;DUQUE DE CAXIAS;BOLETO;1551840;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC16120022020_1551840.rem;CLARO;1;1;83,08
178;ANANINDEUA;BOLETO;1552295;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC17820022020_1552295.rem;NET;29;15;1.694,39
178;ANANINDEUA;BOLETO;1552295;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC17820022020_1552295.rem;CLARO;1;1;108,29
194;BELEM;BOLETO;1552213;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC19420022020_1552213.rem;CLARO;4;4;448,98
194;BELEM;BOLETO;1552213;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC19420022020_1552213.rem;NET;286;100;12.274,69
195;SERTAOZINHO;BOLETO;1551646;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC19520022020_1551646.rem;NET;62;23;2.086,77
195;SERTAOZINHO;BOLETO;1551646;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC19520022020_1551646.rem;CLARO;4;4;201,47
216;TABOAO DA SERRA;BOLETO;1551495;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC21620022020_1551495.rem;NET;30;10;822,11
216;TABOAO DA SERRA;BOLETO;1551495;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC21620022020_1551495.rem;CLARO;2;2;367,61
226;NILOPOLIS;BOLETO;1551773;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC22620022020_1551773.rem;CLARO;1;1;66,76
226;NILOPOLIS;BOLETO;1551773;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC22620022020_1551773.rem;NET;16;6;852,19
230;SALVADOR;BOLETO;1551899;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC23020022020_1551899.rem;CLARO;5;5;522,43
230;SALVADOR;BOLETO;1551899;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC23020022020_1551899.rem;NET;218;85;9.422,76
237;NOVA IGUACU;BOLETO;1551785;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC23720022020_1551785.rem;NET;3;1;9,33
237;NOVA IGUACU;BOLETO;1551786;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC23720022020_1551786.rem;NET;122;46;3.897,97
237;NOVA IGUACU;BOLETO;1551786;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC23720022020_1551786.rem;CLARO;2;2;89,74
239;MESQUITA;BOLETO;1551995;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC23920022020_1551995.rem;CLARO;1;1;55,99
239;MESQUITA;BOLETO;1551995;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC23920022020_1551995.rem;NET;37;14;1.499,30
241;TIETE;BOLETO;1551463;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC24120022020_1551463.rem;CLARO;2;2;835,69
241;TIETE;BOLETO;1551463;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC24120022020_1551463.rem;NET;8;4;544,46
272;VALINHOS;BOLETO;1551701;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC27220022020_1551701.rem;NET;48;16;2.314,88
276;VARGEM GRANDE PAULISTA;BOLETO;1551513;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC27620022020_1551513.rem;CLARO;1;1;64,99
276;VARGEM GRANDE PAULISTA;BOLETO;1551513;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC27620022020_1551513.rem;NET;14;5;501,32
295;SALTO;BOLETO;1551706;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC29520022020_1551706.rem;NET;15;6;998,29
295;SALTO;BOLETO;1551706;06/02/2020;20/02/2020;Primeira Via-PrintHouse;EC29520022020_1551706.rem;CLARO;1;1;20,99
