COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
508;VITORIA;BOLETO;1522881;23/01/2020;10/03/2020;Primeira Via-PrintHouse;ER150810032020_1522881.rem;NET;6;2;301,80
508;VITORIA;BOLETO;1522880;23/01/2020;10/03/2020;Primeira Via-PrintHouse;ER350810032020_1522880.rem;NET;11;4;897,96
507;VILA VELHA;BOLETO;1522865;23/01/2020;10/03/2020;Primeira Via-PrintHouse;ETC50710032020_1522865.rem;NET;37;12;2.681,84
508;VITORIA;BOLETO;1522875;23/01/2020;10/03/2020;Primeira Via-PrintHouse;ETC50810032020_1522875.rem;NET;115;37;11.018,99
508;VITORIA;BOLETO;1522876;23/01/2020;10/03/2020;Primeira Via-PrintHouse;ETRX50810032020_1522876.rem;NET;1;1;108,33
508;VITORIA;BOLETO;1522879;23/01/2020;10/03/2020;Primeira Via-PrintHouse;ETR150810032020_1522879.rem;NET;7;2;789,38
508;VITORIA;BOLETO;1522878;23/01/2020;10/03/2020;Primeira Via-PrintHouse;ETR350810032020_1522878.rem;NET;3;1;497,98
507;VILA VELHA;BOLETO;1522866;23/01/2020;10/03/2020;Primeira Via-PrintHouse;ET50710032020_1522866.rem;NET;89;29;8.354,70
508;VITORIA;BOLETO;1522877;23/01/2020;10/03/2020;Primeira Via-PrintHouse;ET50810032020_1522877.rem;NET;315;105;31.586,36
507;VILA VELHA;BOLETO;1522867;23/01/2020;10/03/2020;Primeira Via-PrintHouse;E50710032020_1522867.rem;NET;85;35;6.200,58
508;VITORIA;BOLETO;1522882;23/01/2020;10/03/2020;Primeira Via-PrintHouse;E50810032020_1522882.rem;NET;460;178;46.363,17
508;VITORIA;CARTAO DE CREDITO;1522891;23/01/2020;10/03/2020;Primeira Via-PrintHouse;CTC50810032020_1522891.rem;NET;3;1;169,98
507;VILA VELHA;DEBITO EM CONTA;1522871;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DC50710032020_1522871.rem;NET;7;2;506,72
508;VITORIA;DEBITO EM CONTA;1522885;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DC50810032020_1522885.rem;NET;9;3;1.046,78
508;VITORIA;DEBITO EM CONTA;1522889;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DR350810032020_1522889.rem;NET;6;2;262,10
507;VILA VELHA;DEBITO EM CONTA;1522868;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DTC50710032020_1522868.rem;NET;53;20;5.871,03
508;VITORIA;DEBITO EM CONTA;1522883;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DTC50810032020_1522883.rem;NET;237;80;27.149,58
507;VILA VELHA;DEBITO EM CONTA;1522870;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DTRX50710032020_1522870.rem;NET;3;1;206,17
508;VITORIA;DEBITO EM CONTA;1522884;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DTRX50810032020_1522884.rem;NET;3;1;442,15
507;VILA VELHA;DEBITO EM CONTA;1522869;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DTRZ50710032020_1522869.rem;NET;1;1;291,49
507;VILA VELHA;DEBITO EM CONTA;1522873;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DTR150710032020_1522873.rem;NET;3;1;424,95
508;VITORIA;DEBITO EM CONTA;1522888;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DTR150810032020_1522888.rem;NET;10;3;1.351,22
508;VITORIA;DEBITO EM CONTA;1522887;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DTR350810032020_1522887.rem;NET;4;2;641,11
507;VILA VELHA;DEBITO EM CONTA;1522872;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DT50710032020_1522872.rem;NET;96;34;8.526,35
508;VITORIA;DEBITO EM CONTA;1522886;23/01/2020;10/03/2020;Primeira Via-PrintHouse;DT50810032020_1522886.rem;NET;488;160;54.354,29
507;VILA VELHA;DEBITO EM CONTA;1522874;23/01/2020;10/03/2020;Primeira Via-PrintHouse;D50710032020_1522874.rem;NET;59;27;7.278,76
508;VITORIA;DEBITO EM CONTA;1522890;23/01/2020;10/03/2020;Primeira Via-PrintHouse;D50810032020_1522890.rem;NET;396;167;46.146,30


**********
FATURAS EBT CONTESTADAS/ALTERADAS
COD_OPERADORA;NOME_CIDADE;NUM_CONTRATO;ID_COBRANCA_PARCEIRO;NOME_PARCEIRO;VALOR_TOTAL;STATUS_COBRANCA
FIM
