COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
005;RIBEIRAO PRETO;BOLETO;1413300;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00515022020_1413300.rem;NET;93;31;4.235,56
005;RIBEIRAO PRETO;BOLETO;1413301;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00515022020_1413301.rem;NET;253;94;8.852,62
005;RIBEIRAO PRETO;BOLETO;1413301;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00515022020_1413301.rem;CLARO;6;6;1.180,03
005;RIBEIRAO PRETO;BOLETO;1413302;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00515022020_1413302.rem;NET;18;7;270,81
006;SAO JOSE DO RIO PRETO;BOLETO;1413130;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00615022020_1413130.rem;CLARO;14;14;1.355,93
006;SAO JOSE DO RIO PRETO;BOLETO;1413130;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00615022020_1413130.rem;NET;290;98;11.138,46
008;BAURU;BOLETO;1413110;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00815022020_1413110.rem;CLARO;4;4;364,98
008;BAURU;BOLETO;1413110;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00815022020_1413110.rem;NET;147;49;4.746,30
009;PIRACICABA;BOLETO;1413172;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00915022020_1413172.rem;CLARO;4;4;254,05
009;PIRACICABA;BOLETO;1413172;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC00915022020_1413172.rem;NET;139;48;4.100,53
011;CAMPO GRANDE;BOLETO;1413352;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC01115022020_1413352.rem;NET;601;202;22.682,13
011;CAMPO GRANDE;BOLETO;1413352;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC01115022020_1413352.rem;CLARO;12;12;1.377,98
030;NOVA FRIBURGO;BOLETO;1412975;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC03015022020_1412975.rem;NET;23;7;659,22
036;PRESIDENTE PRUDENTE;BOLETO;1413185;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC03615022020_1413185.rem;NET;28;9;996,95
052;CAMPINAS;BOLETO;1413263;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05215022020_1413263.rem;NET;199;76;9.929,92
052;CAMPINAS;BOLETO;1413263;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05215022020_1413263.rem;CLARO;25;25;3.564,12
052;CAMPINAS;BOLETO;1413264;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05215022020_1413264.rem;NET;399;136;13.899,01
052;CAMPINAS;BOLETO;1413264;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05215022020_1413264.rem;CLARO;11;11;1.012,94
053;SAO CARLOS;BOLETO;1413147;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05315022020_1413147.rem;CLARO;5;5;825,05
053;SAO CARLOS;BOLETO;1413147;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05315022020_1413147.rem;NET;248;62;5.913,10
054;INDAIATUBA;BOLETO;1413042;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05415022020_1413042.rem;CLARO;2;2;94,98
054;INDAIATUBA;BOLETO;1413042;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05415022020_1413042.rem;NET;85;33;3.062,41
055;JUNDIAI;BOLETO;1413198;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05515022020_1413198.rem;CLARO;5;5;920,01
055;JUNDIAI;BOLETO;1413198;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05515022020_1413198.rem;NET;236;58;7.262,03
056;FRANCA;BOLETO;1413060;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05615022020_1413060.rem;NET;186;64;5.237,65
056;FRANCA;BOLETO;1413060;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC05615022020_1413060.rem;CLARO;2;2;92,36
066;RIO BRANCO;BOLETO;1412825;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC06615022020_1412825.rem;NET;76;26;2.172,61
066;RIO BRANCO;BOLETO;1412825;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC06615022020_1412825.rem;CLARO;1;1;567,68
067;RIBEIRAO PIRES;BOLETO;1413213;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC06715022020_1413213.rem;NET;6;2;237,43
070;BRUSQUE;BOLETO;1413546;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC07015022020_1413546.rem;NET;28;9;840,95
094;ITAPEMA;BOLETO;1413555;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC09415022020_1413555.rem;NET;10;3;409,88
094;ITAPEMA;BOLETO;1413555;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC09415022020_1413555.rem;CLARO;1;1;97,30
126;JUIZ DE FORA;BOLETO;1412797;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC12615022020_1412797.rem;CLARO;3;3;639,65
126;JUIZ DE FORA;BOLETO;1412797;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC12615022020_1412797.rem;NET;94;32;2.539,95
133;CABEDELO;BOLETO;1412983;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC13315022020_1412983.rem;NET;19;8;912,65
152;CARUARU;BOLETO;1412869;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC15215022020_1412869.rem;NET;30;10;1.164,27
193;ITAJAI;BOLETO;1413524;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC19315022020_1413524.rem;NET;115;40;3.027,65
197;MACAE;BOLETO;1412853;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC19715022020_1412853.rem;NET;37;14;1.779,21
209;SUZANO;BOLETO;1413078;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC20915022020_1413078.rem;NET;15;5;608,37
220;PORTO VELHO;BOLETO;1412836;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC22015022020_1412836.rem;CLARO;3;3;166,48
220;PORTO VELHO;BOLETO;1412836;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC22015022020_1412836.rem;NET;116;43;4.289,50
250;PETROPOLIS;BOLETO;1412769;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC25015022020_1412769.rem;NET;30;11;1.176,44
250;PETROPOLIS;BOLETO;1412769;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC25015022020_1412769.rem;CLARO;2;2;93,38
260;NAVEGANTES;BOLETO;1413514;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC26015022020_1413514.rem;NET;4;1;101,90
275;MONTES CLAROS;BOLETO;1412802;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC27515022020_1412802.rem;NET;11;3;254,99
278;PALHOCA;BOLETO;1413417;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC27815022020_1413417.rem;NET;107;36;3.430,42
285;RIO DAS OSTRAS;BOLETO;1413221;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC28515022020_1413221.rem;NET;24;9;1.192,29
294;ALMIRANTE TAMANDARE;BOLETO;1413210;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC29415022020_1413210.rem;NET;3;1;50,83
305;SAO GONCALO;BOLETO;1413090;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC30515022020_1413090.rem;NET;58;21;2.443,12
312;NOVA LIMA;BOLETO;1412958;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC31215022020_1412958.rem;NET;6;4;62,12
332;SAPUCAIA DO SUL;BOLETO;1413565;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC33215022020_1413565.rem;CLARO;2;2;552,59
332;SAPUCAIA DO SUL;BOLETO;1413565;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC33215022020_1413565.rem;NET;30;11;1.056,17
333;ARAUCARIA;BOLETO;1413423;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC33315022020_1413423.rem;CLARO;1;1;124,23
333;ARAUCARIA;BOLETO;1413423;29/01/2020;15/02/2020;Primeira Via-PrintHouse;EC33315022020_1413423.rem;NET;30;10;1.277,10
