COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
008;BAURU;BOLETO;1400957;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00810022020_1400957.rem;CLARO;3;3;372,20
008;BAURU;BOLETO;1400957;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00810022020_1400957.rem;NET;260;85;9.765,09
008;BAURU;BOLETO;1400958;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00810022020_1400958.rem;NET;14;5;168,70
009;PIRACICABA;BOLETO;1400984;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00910022020_1400984.rem;NET;228;82;8.142,12
009;PIRACICABA;BOLETO;1400984;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC00910022020_1400984.rem;CLARO;6;6;623,45
030;NOVA FRIBURGO;BOLETO;1401007;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03010022020_1401007.rem;NET;21;7;492,36
036;PRESIDENTE PRUDENTE;BOLETO;1401000;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC03610022020_1401000.rem;NET;49;17;1.507,64
052;CAMPINAS;BOLETO;1401102;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05210022020_1401102.rem;NET;746;260;34.108,89
052;CAMPINAS;BOLETO;1401102;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05210022020_1401102.rem;CLARO;39;39;4.127,23
052;CAMPINAS;BOLETO;1401103;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05210022020_1401103.rem;NET;8;3;674,43
054;INDAIATUBA;BOLETO;1400849;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05410022020_1400849.rem;CLARO;3;3;168,98
054;INDAIATUBA;BOLETO;1400849;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05410022020_1400849.rem;NET;118;43;4.329,53
055;JUNDIAI;BOLETO;1401023;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05510022020_1401023.rem;CLARO;6;6;1.212,86
055;JUNDIAI;BOLETO;1401023;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05510022020_1401023.rem;NET;300;71;8.720,55
056;FRANCA;BOLETO;1400883;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05610022020_1400883.rem;NET;195;71;6.559,07
056;FRANCA;BOLETO;1400883;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC05610022020_1400883.rem;CLARO;8;8;788,05
066;RIO BRANCO;BOLETO;1400639;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC06610022020_1400639.rem;NET;78;30;3.045,48
066;RIO BRANCO;BOLETO;1400639;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC06610022020_1400639.rem;CLARO;3;3;180,11
067;RIBEIRAO PIRES;BOLETO;1401034;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC06710022020_1401034.rem;NET;6;2;353,76
070;BRUSQUE;BOLETO;1401235;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC07010022020_1401235.rem;NET;25;8;1.061,71
094;ITAPEMA;BOLETO;1401267;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC09410022020_1401267.rem;NET;17;5;757,52
126;JUIZ DE FORA;BOLETO;1400611;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC12610022020_1400611.rem;NET;138;46;4.100,16
126;JUIZ DE FORA;BOLETO;1400611;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC12610022020_1400611.rem;CLARO;1;1;63,99
133;CABEDELO;BOLETO;1400799;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC13310022020_1400799.rem;NET;35;14;657,66
152;CARUARU;BOLETO;1400667;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC15210022020_1400667.rem;CLARO;1;1;64,99
152;CARUARU;BOLETO;1400667;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC15210022020_1400667.rem;NET;30;12;1.432,83
193;ITAJAI;BOLETO;1401255;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC19310022020_1401255.rem;CLARO;1;1;217,03
193;ITAJAI;BOLETO;1401255;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC19310022020_1401255.rem;NET;289;99;8.499,18
197;MACAE;BOLETO;1400922;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC19710022020_1400922.rem;NET;113;41;5.535,14
197;MACAE;BOLETO;1400922;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC19710022020_1400922.rem;CLARO;5;5;808,53
209;SUZANO;BOLETO;1401214;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC20910022020_1401214.rem;NET;28;10;1.067,28
220;PORTO VELHO;BOLETO;1400654;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC22010022020_1400654.rem;NET;437;154;19.075,99
220;PORTO VELHO;BOLETO;1400654;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC22010022020_1400654.rem;CLARO;6;6;428,18
250;PETROPOLIS;BOLETO;1400862;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC25010022020_1400862.rem;NET;34;10;1.585,38
260;NAVEGANTES;BOLETO;1401205;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC26010022020_1401205.rem;NET;3;1;0,00
275;MONTES CLAROS;BOLETO;1400631;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC27510022020_1400631.rem;NET;4;2;172,22
285;RIO DAS OSTRAS;BOLETO;1401052;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC28510022020_1401052.rem;CLARO;1;1;34,70
285;RIO DAS OSTRAS;BOLETO;1401052;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC28510022020_1401052.rem;NET;31;10;1.140,66
305;SAO GONCALO;BOLETO;1400902;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC30510022020_1400902.rem;CLARO;3;3;268,62
305;SAO GONCALO;BOLETO;1400902;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC30510022020_1400902.rem;NET;66;23;2.189,40
312;NOVA LIMA;BOLETO;1400777;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC31210022020_1400777.rem;NET;28;11;1.202,01
336;VITORIA DA CONQUISTA;BOLETO;1400763;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC33610022020_1400763.rem;CLARO;2;2;309,79
336;VITORIA DA CONQUISTA;BOLETO;1400763;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC33610022020_1400763.rem;NET;26;9;1.387,19
338;TERESOPOLIS;BOLETO;1400895;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC33810022020_1400895.rem;NET;43;16;2.775,75
359;VOLTA REDONDA;BOLETO;1401064;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC35910022020_1401064.rem;NET;48;17;1.857,89
363;SAO JOSE;BOLETO;1401181;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC36310022020_1401181.rem;NET;31;10;1.336,21
363;SAO JOSE;BOLETO;1401182;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC36310022020_1401182.rem;NET;206;69;7.343,95
363;SAO JOSE;BOLETO;1401182;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC36310022020_1401182.rem;CLARO;1;1;2,30
389;CAMPO LARGO;BOLETO;1401224;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC38910022020_1401224.rem;NET;12;4;245,73
405;IPATINGA;BOLETO;1400695;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC40510022020_1400695.rem;NET;32;14;986,16
419;ARTUR NOGUEIRA;BOLETO;1401127;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC41910022020_1401127.rem;NET;1;1;285,49
437;COLOMBO;BOLETO;1401136;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC43710022020_1401136.rem;NET;33;12;942,07
455;ARAGUARI;BOLETO;1400769;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC45510022020_1400769.rem;NET;29;10;1.296,28
514;BETIM;BOLETO;1400813;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC51410022020_1400813.rem;NET;39;14;983,74
514;BETIM;BOLETO;1400813;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC51410022020_1400813.rem;CLARO;1;1;55,99
529;CAMPOS DOS GOYTACAZES;BOLETO;1401041;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC52910022020_1401041.rem;NET;59;23;3.338,78
529;CAMPOS DOS GOYTACAZES;BOLETO;1401041;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC52910022020_1401041.rem;CLARO;2;2;159,36
540;PALMAS;BOLETO;1400723;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC54010022020_1400723.rem;NET;97;32;2.931,57
540;PALMAS;BOLETO;1400723;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC54010022020_1400723.rem;CLARO;2;2;614,26
550;ARACAJU;BOLETO;1400549;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC55010022020_1400549.rem;NET;164;58;5.385,53
550;ARACAJU;BOLETO;1400549;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC55010022020_1400549.rem;CLARO;4;4;152,15
566;SERRA;BOLETO;1400682;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC56610022020_1400682.rem;CLARO;4;4;568,66
566;SERRA;BOLETO;1400682;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC56610022020_1400682.rem;NET;249;91;9.454,45
609;POA;BOLETO;1400949;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC60910022020_1400949.rem;NET;25;9;760,99
742;SETE LAGOAS;BOLETO;1400746;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC74210022020_1400746.rem;NET;23;7;1.002,32
750;CAMACARI;BOLETO;1400789;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC75010022020_1400789.rem;NET;45;14;1.106,62
752;BALNEARIO CAMBORIU;BOLETO;1401192;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC75210022020_1401192.rem;CLARO;3;3;592,70
752;BALNEARIO CAMBORIU;BOLETO;1401192;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC75210022020_1401192.rem;NET;133;49;4.961,28
753;CONTAGEM;BOLETO;1400589;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC75310022020_1400589.rem;NET;115;39;3.640,48
763;TEOFILO OTONI;BOLETO;1400737;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC76310022020_1400737.rem;NET;6;2;432,27
770;PINHAIS;BOLETO;1401156;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC77010022020_1401156.rem;NET;64;21;2.063,15
770;PINHAIS;BOLETO;1401156;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC77010022020_1401156.rem;CLARO;1;1;11,97
770;PINHAIS;BOLETO;1401157;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC77010022020_1401157.rem;NET;14;4;369,98
803;UBERABA;BOLETO;1400573;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC80310022020_1400573.rem;NET;138;48;4.850,92
803;UBERABA;BOLETO;1400573;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC80310022020_1400573.rem;CLARO;1;1;119,98
806;UBERLANDIA;BOLETO;1400708;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC80610022020_1400708.rem;CLARO;3;3;424,71
806;UBERLANDIA;BOLETO;1400708;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC80610022020_1400708.rem;NET;138;52;5.410,82
832;DIVINOPOLIS;BOLETO;1400562;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC83210022020_1400562.rem;NET;18;6;367,20
847;CAMPINA GRANDE;BOLETO;1400600;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC84710022020_1400600.rem;NET;88;38;3.746,56
911;CACHOEIRO DE ITAPEMIRIM;BOLETO;1400755;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC91110022020_1400755.rem;NET;4;2;178,89
917;CARIACICA;BOLETO;1400823;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC91710022020_1400823.rem;CLARO;1;1;50,24
917;CARIACICA;BOLETO;1400823;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC91710022020_1400823.rem;NET;56;21;1.706,55
930;GOVERNADOR VALADARES;BOLETO;1400623;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC93010022020_1400623.rem;CLARO;1;1;90,00
930;GOVERNADOR VALADARES;BOLETO;1400623;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC93010022020_1400623.rem;NET;50;20;2.241,11
954;PAULINIA;BOLETO;1400835;22/01/2020;10/02/2020;Primeira Via-PrintHouse;EC95410022020_1400835.rem;NET;55;18;2.831,72
