COD_OPERADORA;NOME_CIDADE;TIPO;ID_REGISTRO_EMISSAO;EMISSAO;VENCTO;ORIGEM;ARQUIVO;NOME_PARCEIRO;QTDE_PAGE_TOTAL;QTDE_COB_TOTAL;VALOR_TOTAL
004;SANTOS;BOLETO;681632;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00420022020_681632.rem;CLARO;7;7;611,73
004;SANTOS;BOLETO;681632;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC00420022020_681632.rem;NET;338;87;10.762,70
010;GOIANIA;BOLETO;681576;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC01020022020_681576.rem;CLARO;19;19;3.095,81
010;GOIANIA;BOLETO;681576;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC01020022020_681576.rem;NET;508;194;22.223,04
015;ANAPOLIS;BOLETO;681616;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC01520022020_681616.rem;NET;89;38;3.519,59
015;ANAPOLIS;BOLETO;681616;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC01520022020_681616.rem;CLARO;3;3;129,88
038;RIO DE JANEIRO;BOLETO;681821;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03820022020_681821.rem;CLARO;85;85;13.162,73
038;RIO DE JANEIRO;BOLETO;681821;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03820022020_681821.rem;NET;1997;728;90.944,59
038;RIO DE JANEIRO;BOLETO;681822;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03820022020_681822.rem;NET;1;1;111,51
038;RIO DE JANEIRO;BOLETO;681823;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03820022020_681823.rem;NET;3;1;248,91
038;RIO DE JANEIRO;BOLETO;681824;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03820022020_681824.rem;NET;72;28;3.901,95
038;RIO DE JANEIRO;BOLETO;681824;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03820022020_681824.rem;CLARO;2;2;346,99
038;RIO DE JANEIRO;BOLETO;681825;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03820022020_681825.rem;NET;77;28;3.621,87
038;RIO DE JANEIRO;BOLETO;681825;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC03820022020_681825.rem;CLARO;6;6;948,65
040;BRASILIA;BOLETO;681748;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC04020022020_681748.rem;CLARO;35;35;5.214,18
040;BRASILIA;BOLETO;681748;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC04020022020_681748.rem;NET;1135;405;48.908,48
160;VALPARAISO DE GOIAS;BOLETO;681608;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC16020022020_681608.rem;NET;9;3;106,16
228;NITEROI;BOLETO;681593;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC22820022020_681593.rem;CLARO;4;4;690,69
228;NITEROI;BOLETO;681593;05/02/2020;20/02/2020;Primeira Via-PrintHouse;EC22820022020_681593.rem;NET;161;59;5.740,78
004;SANTOS;BOLETO;681638;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX00420022020_681638.rem;CLARO;1;1;131,74
004;SANTOS;BOLETO;681638;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX00420022020_681638.rem;NET;5;1;341,23
010;GOIANIA;BOLETO;681583;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX01020022020_681583.rem;CLARO;2;2;204,88
010;GOIANIA;BOLETO;681583;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX01020022020_681583.rem;NET;9;3;305,51
038;RIO DE JANEIRO;BOLETO;681853;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX03820022020_681853.rem;NET;32;11;1.787,40
038;RIO DE JANEIRO;BOLETO;681853;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX03820022020_681853.rem;CLARO;5;5;1.279,50
040;BRASILIA;BOLETO;681760;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX04020022020_681760.rem;CLARO;3;3;415,13
040;BRASILIA;BOLETO;681760;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX04020022020_681760.rem;NET;25;11;634,59
228;NITEROI;BOLETO;681599;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERX22820022020_681599.rem;NET;1;1;0,00
004;SANTOS;BOLETO;681639;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ00420022020_681639.rem;NET;6;1;0,00
010;GOIANIA;BOLETO;681584;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ01020022020_681584.rem;CLARO;3;3;645,43
010;GOIANIA;BOLETO;681584;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ01020022020_681584.rem;NET;12;5;776,18
038;RIO DE JANEIRO;BOLETO;681854;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ03820022020_681854.rem;CLARO;6;6;1.195,53
038;RIO DE JANEIRO;BOLETO;681854;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ03820022020_681854.rem;NET;44;15;1.671,91
038;RIO DE JANEIRO;BOLETO;681855;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ03820022020_681855.rem;NET;2;1;421,14
038;RIO DE JANEIRO;BOLETO;681855;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ03820022020_681855.rem;CLARO;1;1;66,71
040;BRASILIA;BOLETO;681761;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ04020022020_681761.rem;NET;27;9;1.553,64
040;BRASILIA;BOLETO;681761;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ERZ04020022020_681761.rem;CLARO;5;5;561,85
004;SANTOS;BOLETO;681633;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER1C00420022020_681633.rem;NET;8;2;476,00
010;GOIANIA;BOLETO;681577;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER1C01020022020_681577.rem;NET;16;5;1.193,31
015;ANAPOLIS;BOLETO;681617;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER1C01520022020_681617.rem;NET;3;1;66,59
038;RIO DE JANEIRO;BOLETO;681826;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER1C03820022020_681826.rem;NET;49;17;4.365,28
038;RIO DE JANEIRO;BOLETO;681827;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER1C03820022020_681827.rem;NET;3;2;358,95
038;RIO DE JANEIRO;BOLETO;681828;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER1C03820022020_681828.rem;NET;16;5;1.049,89
040;BRASILIA;BOLETO;681749;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER1C04020022020_681749.rem;NET;18;9;1.974,66
228;NITEROI;BOLETO;681594;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER1C22820022020_681594.rem;NET;4;2;370,68
004;SANTOS;BOLETO;681620;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER100420022020_681620.rem;NET;1055;283;45.866,72
010;GOIANIA;BOLETO;681566;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER101020022020_681566.rem;NET;1084;424;64.044,27
015;ANAPOLIS;BOLETO;681611;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER101520022020_681611.rem;NET;160;63;8.753,71
038;RIO DE JANEIRO;BOLETO;681669;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER103820022020_681669.rem;NET;4547;1059;168.854,30
038;RIO DE JANEIRO;BOLETO;681670;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER103820022020_681670.rem;NET;349;155;25.092,34
038;RIO DE JANEIRO;BOLETO;681671;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER103820022020_681671.rem;NET;3646;1000;188.528,67
038;RIO DE JANEIRO;BOLETO;681672;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER103820022020_681672.rem;NET;287;122;20.967,93
040;BRASILIA;BOLETO;681732;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER104020022020_681732.rem;NET;1876;804;140.681,30
228;NITEROI;BOLETO;681586;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER122820022020_681586.rem;NET;281;105;20.155,90
004;SANTOS;BOLETO;681634;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER3C00420022020_681634.rem;NET;13;3;1.044,97
010;GOIANIA;BOLETO;681579;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER3C01020022020_681579.rem;NET;23;7;1.011,89
015;ANAPOLIS;BOLETO;681600;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER3C01520022020_681600.rem;NET;2;1;238,78
038;RIO DE JANEIRO;BOLETO;681829;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER3C03820022020_681829.rem;NET;52;21;3.500,86
038;RIO DE JANEIRO;BOLETO;681830;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER3C03820022020_681830.rem;NET;3;1;69,61
040;BRASILIA;BOLETO;681750;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER3C04020022020_681750.rem;NET;18;5;1.117,58
228;NITEROI;BOLETO;681595;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER3C22820022020_681595.rem;NET;7;2;182,90
004;SANTOS;BOLETO;681621;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER300420022020_681621.rem;CLARO;1;1;235,88
004;SANTOS;BOLETO;681621;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER300420022020_681621.rem;NET;953;266;44.315,73
010;GOIANIA;BOLETO;681567;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER301020022020_681567.rem;NET;786;328;47.797,65
015;ANAPOLIS;BOLETO;681612;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER301520022020_681612.rem;NET;119;54;7.519,91
038;RIO DE JANEIRO;BOLETO;681673;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER303820022020_681673.rem;NET;6306;1631;290.144,90
038;RIO DE JANEIRO;BOLETO;681673;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER303820022020_681673.rem;CLARO;1;1;54,99
038;RIO DE JANEIRO;BOLETO;681674;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER303820022020_681674.rem;NET;256;111;18.822,09
038;RIO DE JANEIRO;BOLETO;681675;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER303820022020_681675.rem;NET;273;116;20.204,35
040;BRASILIA;BOLETO;681733;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER304020022020_681733.rem;NET;1218;511;86.001,47
228;NITEROI;BOLETO;681587;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ER322820022020_681587.rem;NET;202;83;13.069,12
004;SANTOS;BOLETO;681637;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00420022020_681637.rem;EMBRATEL;1024;931;25.878,99
004;SANTOS;BOLETO;681637;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00420022020_681637.rem;NET;4974;1263;281.163,31
004;SANTOS;BOLETO;681637;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC00420022020_681637.rem;CLARO;1285;1201;161.338,26
010;GOIANIA;BOLETO;681581;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC01020022020_681581.rem;EMBRATEL;1272;1097;30.550,66
010;GOIANIA;BOLETO;681581;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC01020022020_681581.rem;CLARO;1856;1677;199.248,33
010;GOIANIA;BOLETO;681581;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC01020022020_681581.rem;NET;4597;1692;316.503,27
010;GOIANIA;BOLETO;681582;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC01020022020_681582.rem;CLARO;1;1;260,62
010;GOIANIA;BOLETO;681582;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC01020022020_681582.rem;NET;2;1;266,95
015;ANAPOLIS;BOLETO;681603;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC01520022020_681603.rem;NET;506;202;31.272,56
015;ANAPOLIS;BOLETO;681603;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC01520022020_681603.rem;CLARO;242;213;18.556,16
015;ANAPOLIS;BOLETO;681603;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC01520022020_681603.rem;EMBRATEL;112;107;2.742,76
038;RIO DE JANEIRO;BOLETO;681840;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681840.rem;NET;1896;600;109.146,28
038;RIO DE JANEIRO;BOLETO;681840;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681840.rem;EMBRATEL;421;345;8.370,87
038;RIO DE JANEIRO;BOLETO;681840;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681840.rem;CLARO;566;552;46.711,17
038;RIO DE JANEIRO;BOLETO;681841;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681841.rem;EMBRATEL;917;791;25.617,72
038;RIO DE JANEIRO;BOLETO;681841;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681841.rem;NET;2778;962;308.165,29
038;RIO DE JANEIRO;BOLETO;681841;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681841.rem;CLARO;943;911;164.999,44
038;RIO DE JANEIRO;BOLETO;681842;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681842.rem;NET;2592;945;254.366,39
038;RIO DE JANEIRO;BOLETO;681842;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681842.rem;EMBRATEL;951;793;25.718,48
038;RIO DE JANEIRO;BOLETO;681842;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681842.rem;CLARO;914;868;138.079,60
038;RIO DE JANEIRO;BOLETO;681843;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681843.rem;EMBRATEL;978;784;26.519,60
038;RIO DE JANEIRO;BOLETO;681843;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681843.rem;NET;2622;953;230.999,99
038;RIO DE JANEIRO;BOLETO;681843;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681843.rem;CLARO;924;866;126.686,14
038;RIO DE JANEIRO;BOLETO;681844;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681844.rem;NET;2631;953;228.263,65
038;RIO DE JANEIRO;BOLETO;681844;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681844.rem;CLARO;932;852;121.723,71
038;RIO DE JANEIRO;BOLETO;681844;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681844.rem;EMBRATEL;911;769;23.042,65
038;RIO DE JANEIRO;BOLETO;681845;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681845.rem;CLARO;948;886;109.225,93
038;RIO DE JANEIRO;BOLETO;681845;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681845.rem;NET;2565;925;211.730,80
038;RIO DE JANEIRO;BOLETO;681845;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681845.rem;EMBRATEL;904;749;22.276,28
038;RIO DE JANEIRO;BOLETO;681846;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681846.rem;EMBRATEL;760;669;19.387,73
038;RIO DE JANEIRO;BOLETO;681846;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681846.rem;NET;2493;911;202.609,89
038;RIO DE JANEIRO;BOLETO;681846;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681846.rem;CLARO;1010;909;99.150,93
038;RIO DE JANEIRO;BOLETO;681847;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681847.rem;EMBRATEL;767;664;18.405,17
038;RIO DE JANEIRO;BOLETO;681847;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681847.rem;CLARO;983;895;100.583,02
038;RIO DE JANEIRO;BOLETO;681847;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681847.rem;NET;2508;895;190.676,77
038;RIO DE JANEIRO;BOLETO;681848;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681848.rem;EMBRATEL;734;653;17.258,43
038;RIO DE JANEIRO;BOLETO;681848;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681848.rem;CLARO;1010;910;98.832,25
038;RIO DE JANEIRO;BOLETO;681848;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681848.rem;NET;2551;905;204.467,24
038;RIO DE JANEIRO;BOLETO;681849;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681849.rem;NET;2443;875;180.520,34
038;RIO DE JANEIRO;BOLETO;681849;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681849.rem;CLARO;1026;906;88.538,89
038;RIO DE JANEIRO;BOLETO;681849;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681849.rem;EMBRATEL;634;578;16.907,00
038;RIO DE JANEIRO;BOLETO;681850;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681850.rem;NET;1239;455;103.984,50
038;RIO DE JANEIRO;BOLETO;681850;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681850.rem;EMBRATEL;509;362;12.417,08
038;RIO DE JANEIRO;BOLETO;681850;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681850.rem;CLARO;393;420;55.976,82
038;RIO DE JANEIRO;BOLETO;681851;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681851.rem;CLARO;1;1;65,42
038;RIO DE JANEIRO;BOLETO;681851;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681851.rem;NET;3;1;216,93
038;RIO DE JANEIRO;BOLETO;681852;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681852.rem;CLARO;597;559;77.149,74
038;RIO DE JANEIRO;BOLETO;681852;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681852.rem;NET;1586;587;139.433,90
038;RIO DE JANEIRO;BOLETO;681852;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC03820022020_681852.rem;EMBRATEL;562;490;13.205,34
040;BRASILIA;BOLETO;681754;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC04020022020_681754.rem;NET;3193;1205;229.226,56
040;BRASILIA;BOLETO;681754;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC04020022020_681754.rem;CLARO;1375;1207;117.661,25
040;BRASILIA;BOLETO;681754;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC04020022020_681754.rem;EMBRATEL;938;845;20.379,82
040;BRASILIA;BOLETO;681755;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC04020022020_681755.rem;EMBRATEL;994;742;22.118,85
040;BRASILIA;BOLETO;681755;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC04020022020_681755.rem;NET;2496;940;238.922,47
040;BRASILIA;BOLETO;681755;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC04020022020_681755.rem;CLARO;964;907;146.432,49
040;BRASILIA;BOLETO;681756;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC04020022020_681756.rem;CLARO;948;886;137.731,52
040;BRASILIA;BOLETO;681756;05/02/2020;20/02/2020;Primeira Via-PrintHouse;ETC04020022020_681756.rem;EMBRATEL;874;748;22.747,16
